Fighter Name,fightno,slpmSecondSplit,strAccSecondSplit,sapmSecondSplit,strDefSecondSplit,tdAvgSecondSplit,tdAccSecondSplit,tdDefSecondSplit,subAvgSecondSplit
Stefan Leko,3.0,2.4,43.0,6.17,68.0,0.0,0.0,0.0,0.0
Gabe Lemley,1.0,0.82,35.0,6.03,45.0,0.0,0.0,0.0,0.0
Amanda Lemos,4.0,6.21,64.0,5.39,45.0,1.98,100.0,100.0,0.5
Giacomo Lemos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christophe Leninger,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jesse Lennox,4.0,2.69,32.0,3.2,64.0,1.22,66.0,63.0,0.3
Jean Francois Lenogue,1.0,1.13,34.0,0.27,60.0,0.0,0.0,33.0,0.0
Nik Lentz,25.0,3.44,47.0,3.25,50.0,3.3,32.0,43.0,1.2
Alberta Cerra Leon,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victoria Leonardo,2.0,3.4,37.0,4.15,47.0,2.39,37.0,0.0,0.0
Anthony Leone,2.0,1.94,53.0,2.52,56.0,1.72,18.0,0.0,0.0
Chad Leonhardt,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kimo Leopoldo,9.0,0.76,83.0,2.12,30.0,4.55,100.0,0.0,2.3
Michael Lerma,1.0,0.0,0.0,6.47,45.0,0.0,0.0,0.0,0.0
Lukasz Les,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brock Lesnar,9.0,3.53,72.0,2.11,50.0,3.9,55.0,60.0,0.5
Frank Lester,1.0,2.18,36.0,3.82,53.0,0.0,0.0,0.0,0.0
Valerie Letourneau,6.0,4.51,37.0,5.4,58.0,0.77,45.0,66.0,0.3
Leah Letson,1.0,4.87,40.0,3.8,63.0,0.0,0.0,100.0,0.0
Justin Levens,4.0,1.24,47.0,3.15,37.0,1.69,50.0,33.0,5.1
Marcus LeVesseur,3.0,2.55,64.0,3.7,37.0,3.89,36.0,83.0,0.6
David Levicki,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Levinton,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natan Levy,1.0,1.65,60.0,0.82,57.0,2.75,100.0,100.0,2.8
John Lewis,2.0,0.0,0.0,4.0,66.0,0.0,0.0,0.0,0.0
Derrick Lewis,21.0,2.59,50.0,2.16,44.0,0.52,26.0,54.0,0.0
Bevon Lewis,6.0,3.73,43.0,2.67,54.0,0.0,0.0,66.0,0.0
Brandon Lewis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi Lewis-Parry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li Jingliang,14.0,4.52,42.0,3.65,59.0,1.28,39.0,59.0,0.0
Jess Liaudin,5.0,2.46,51.0,2.76,41.0,3.28,53.0,30.0,1.6
Chuck Liddell,26.0,2.97,35.0,2.71,56.0,0.44,75.0,81.0,0.0
Sam Liera,1.0,0.82,60.0,7.36,51.0,0.0,0.0,66.0,0.0
Zach Light,2.0,0.81,33.0,1.9,48.0,1.36,100.0,0.0,0.0
Scott Lighty,3.0,2.91,21.0,4.24,49.0,0.0,0.0,0.0,0.0
Chris Liguori,1.0,0.29,33.0,1.44,0.0,0.0,0.0,50.0,0.0
Donnie Liles,1.0,2.25,41.0,1.75,65.0,2.5,28.0,0.0,1.2
Jae Suk Lim,1.0,2.43,50.0,4.05,37.0,12.16,100.0,100.0,0.0
Hyun Gyu Lim,7.0,4.45,41.0,5.07,51.0,0.23,100.0,73.0,0.2
Juliana Lima,7.0,1.94,44.0,2.11,55.0,1.72,31.0,70.0,0.0
Dhiego Lima,10.0,3.14,38.0,3.93,59.0,1.38,42.0,73.0,0.7
Douglas Lima,0.0,1.92,36.0,2.84,60.0,0.6,100.0,46.0,0.0
Mabelly Lima,1.0,3.07,63.0,5.67,44.0,0.0,0.0,100.0,0.0
Miguel Linares,2.0,6.51,50.0,8.84,36.0,0.0,0.0,0.0,0.0
Matt Lindland,19.0,2.62,50.0,1.56,52.0,3.01,48.0,60.0,1.3
Jake Lindsey,3.0,3.44,52.0,4.01,46.0,0.65,33.0,50.0,0.0
John Lineker,16.0,5.36,40.0,4.27,56.0,0.56,58.0,67.0,0.6
Austin Lingo,2.0,3.57,44.0,3.17,62.0,1.0,66.0,76.0,0.0
Lucio Linhares,2.0,0.99,22.0,3.47,34.0,1.86,50.0,50.0,1.9
Philipe Lins,2.0,2.66,40.0,3.68,49.0,0.0,0.0,0.0,0.0
Ariane Lipski,5.0,3.03,32.0,4.45,48.0,0.27,25.0,45.0,0.5
Dean Lister,9.0,1.26,35.0,1.89,61.0,1.58,15.0,50.0,1.1
Wesley Little,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abner Lloveras,1.0,6.27,49.0,6.87,43.0,2.0,20.0,0.0,0.0
Brian Lo-A-Njoe,1.0,3.87,42.0,0.0,0.0,0.0,0.0,66.0,0.0
John Lober,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Artem Lobov,7.0,3.52,41.0,4.82,50.0,0.39,25.0,52.0,0.0
Dylan Lockard,1.0,1.31,53.0,3.31,52.0,2.31,40.0,28.0,1.2
Sean Loeffler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Lohsen,1.0,5.27,49.0,6.93,44.0,0.0,0.0,0.0,2.0
David Loiseau,9.0,1.59,44.0,3.64,43.0,0.43,42.0,36.0,0.1
Hector Lombard,14.0,3.02,46.0,3.35,53.0,1.69,48.0,77.0,0.5
Michael Lombardo,2.0,1.47,62.0,2.63,31.0,2.5,21.0,60.0,0.0
Rocky Long,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Longacre,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Loma Lookboonmee,4.0,5.27,58.0,3.13,54.0,1.5,37.0,76.0,0.0
Ange Loosa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucas Lopes,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dileno Lopes,2.0,2.37,36.0,3.33,53.0,2.5,31.0,100.0,1.5
Ivan Lopez,1.0,0.9,26.0,2.24,65.0,0.0,0.0,30.0,0.0
Steve Lopez,2.0,1.39,24.0,2.69,62.0,0.0,0.0,37.0,0.0
Federico Lopez,1.0,1.78,23.0,5.35,30.0,0.0,0.0,0.0,0.0
Jorge Lopez,2.0,2.47,59.0,2.57,50.0,3.5,41.0,81.0,0.0
Christopher Lopez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matthew Lopez,6.0,3.13,50.0,3.73,55.0,3.32,60.0,71.0,1.3
Benito Lopez,4.0,4.49,44.0,4.8,58.0,0.0,0.0,78.0,0.3
Gustavo Lopez,3.0,2.24,41.0,4.65,51.0,1.07,50.0,27.0,0.5
Brendan Loughnane,2.0,6.23,63.0,6.7,53.0,1.5,30.0,92.0,0.0
Nate Loughran,2.0,1.81,40.0,4.11,59.0,0.0,0.0,0.0,2.1
Rashard Lovelace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ian Loveland,3.0,2.71,40.0,2.36,64.0,1.0,37.0,69.0,0.3
Jakob Lovstad,1.0,0.0,0.0,9.43,35.0,0.0,0.0,0.0,0.0
Waylon Lowe,4.0,1.88,55.0,2.4,53.0,4.47,55.0,83.0,0.3
Brandon Lowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Lowry,2.0,3.97,34.0,4.25,63.0,0.0,0.0,0.0,0.0
Robert Lucarelli,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Lucas,1.0,1.27,48.0,3.93,40.0,1.0,10.0,0.0,0.0
Cleber Luciano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duane Ludwig,17.0,4.62,44.0,3.05,57.0,0.43,25.0,59.0,0.1
Mike Lullo,2.0,2.48,36.0,4.84,40.0,1.18,11.0,0.0,0.6
Dalcha Lungiambula,3.0,1.85,50.0,2.27,43.0,2.07,50.0,75.0,0.0
Alexandru Lungu,1.0,3.61,66.0,7.22,40.0,0.0,0.0,0.0,0.0
Vicente Luque,16.0,5.74,54.0,5.78,52.0,0.66,50.0,65.0,0.9
Thaddeus Luster,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Travis Lutter,6.0,0.41,32.0,2.42,42.0,1.95,24.0,30.0,0.7
Tucker Lutz,3.0,5.09,52.0,3.67,45.0,2.33,63.0,84.0,0.3
Lv Zhenhong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stevie Lynch,1.0,2.47,25.0,7.06,41.0,0.0,0.0,0.0,0.0
Adam Lynn,2.0,1.47,63.0,6.95,10.0,0.0,0.0,50.0,0.0
Chris Lytle,22.0,3.76,45.0,3.03,58.0,0.7,55.0,55.0,2.4
Dong Hyun Ma,8.0,2.84,41.0,4.1,54.0,1.27,53.0,33.0,0.0
William Macario,4.0,4.92,54.0,3.96,65.0,1.85,45.0,78.0,0.0
Jason MacDonald,14.0,1.55,52.0,2.7,46.0,1.43,16.0,35.0,2.0
Rob MacDonald,3.0,1.8,50.0,2.04,46.0,7.19,80.0,80.0,5.4
Rory MacDonald,13.0,3.75,42.0,2.8,62.0,1.77,47.0,88.0,0.4
Ryan MacDonald,2.0,2.28,29.0,6.49,45.0,0.0,0.0,0.0,0.0
Veronica Macedo,5.0,3.13,39.0,5.06,43.0,0.57,18.0,46.0,0.6
Clayton MacFarlane,0.0,1.33,52.0,1.82,55.0,1.05,33.0,37.0,0.0
Ilima Macfarlane,0.0,4.13,43.0,2.93,65.0,0.0,0.0,50.0,1.0
Lyoto Machida,32.0,2.59,53.0,1.57,61.0,1.21,65.0,75.0,0.4
War Machine,2.0,2.32,60.0,3.17,43.0,1.16,50.0,40.0,0.0
Anthony Macias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pauline Macias,1.0,0.8,29.0,4.6,42.0,2.0,18.0,0.0,0.0
Reza Madadi,7.0,2.51,46.0,3.31,66.0,3.17,33.0,89.0,0.5
Don Madge,2.0,2.08,52.0,0.74,67.0,2.22,25.0,80.0,0.7
Ryan Madigan,1.0,0.0,0.0,3.35,47.0,0.0,0.0,0.0,0.0
Jon Madsen,5.0,2.46,41.0,1.18,81.0,1.32,71.0,70.0,0.0
Mark Madsen,2.0,2.28,42.0,2.53,46.0,8.33,64.0,0.0,0.0
Yoshiro Maeda,12.0,2.36,33.0,2.55,63.0,2.93,51.0,50.0,0.7
Leonardo Mafra,4.0,4.55,48.0,4.38,43.0,2.12,83.0,69.0,0.4
Vinny Magalhaes,5.0,2.14,24.0,3.97,68.0,1.55,44.0,66.0,0.8
Vinicius Magalhaes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caio Magalhaes,7.0,2.27,40.0,2.78,56.0,1.05,15.0,58.0,1.6
Bernardo Magalhaes,2.0,1.8,27.0,3.37,68.0,0.0,0.0,0.0,0.5
Eric Magana,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Magana,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angela Magana,3.0,1.53,28.0,4.92,42.0,0.4,25.0,28.0,0.4
Neil Magny,25.0,3.67,46.0,2.06,56.0,2.44,42.0,57.0,0.3
Ibragim Magomedov,1.0,0.26,4.0,3.86,42.0,0.0,0.0,0.0,0.0
Rashid Magomedov,6.0,4.4,49.0,3.05,54.0,0.67,57.0,89.0,0.2
Ruslan Magomedov,3.0,4.02,47.0,1.47,66.0,0.33,100.0,88.0,0.0
Zabit Magomedsharipov,6.0,4.89,48.0,3.0,64.0,5.22,56.0,77.0,0.8
John Maguire,5.0,1.41,41.0,2.44,65.0,2.8,46.0,77.0,1.1
Lolohea Mahe,2.0,1.71,29.0,6.92,40.0,2.44,40.0,0.0,0.0
Michelle Maher,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bill Mahood,3.0,1.54,85.0,3.59,17.0,0.0,0.0,0.0,3.9
Klayton Mai,0.0,1.53,42.0,1.02,63.0,3.83,100.0,0.0,7.7
Demian Maia,33.0,1.82,43.0,2.03,63.0,2.55,26.0,61.0,1.0
Jennifer Maia,6.0,3.34,39.0,3.52,52.0,0.34,50.0,56.0,0.2
Levan Makashvili,3.0,2.87,54.0,2.07,61.0,3.67,42.0,85.0,0.0
John Makdessi,18.0,5.57,51.0,4.02,69.0,0.0,0.0,89.0,0.0
Islam Makhachev,9.0,2.0,56.0,0.77,70.0,3.46,68.0,93.0,1.0
Aliev Makhmud,1.0,1.12,30.0,2.24,36.0,2.1,50.0,0.0,0.0
Zach Makovsky,7.0,1.94,43.0,2.24,62.0,3.71,30.0,56.0,0.3
Jeremy Malaterre,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fabio Maldonado,11.0,5.29,58.0,4.31,53.0,0.44,57.0,61.0,0.6
Marvin Maldonado,0.0,0.87,56.0,3.47,43.0,0.0,0.0,20.0,0.0
Bea Malecki,2.0,6.78,46.0,6.14,62.0,0.0,0.0,78.0,1.4
Nazareno Malegarie,1.0,3.87,34.0,3.27,69.0,1.0,33.0,0.0,0.0
Carl Malenko,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacob Malkoun,2.0,1.76,47.0,1.83,51.0,7.84,33.0,0.0,2.0
Mike Malott,0.0,4.53,36.0,4.53,51.0,2.0,33.0,0.0,0.0
Troy Mandaloniz,2.0,3.52,56.0,4.71,63.0,3.1,66.0,57.0,0.0
Nate Maness,2.0,2.4,45.0,4.63,45.0,1.33,66.0,88.0,0.7
Michael Mangan,0.0,1.94,33.0,4.52,46.0,19.35,50.0,100.0,0.0
Gary Mangat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Melvin Manhoef,11.0,3.52,48.0,2.64,51.0,0.33,25.0,78.0,0.0
Melchor Manibusan,1.0,1.58,54.0,5.79,15.0,0.0,0.0,0.0,0.0
Jon Manley,1.0,1.13,20.0,4.33,45.0,1.0,7.0,20.0,0.0
Steve Mann,0.0,3.18,70.0,0.66,57.0,1.64,100.0,60.0,0.0
Chris Manuel,1.0,2.53,40.0,2.67,66.0,1.0,20.0,100.0,0.0
Jimi Manuwa,12.0,3.43,54.0,3.97,49.0,0.53,18.0,70.0,0.4
Cristiano Marcello,5.0,2.56,33.0,3.61,58.0,0.44,11.0,20.0,0.9
Jose Maria,2.0,3.2,53.0,3.98,52.0,2.32,27.0,33.0,2.3
Marcos Mariano,2.0,0.25,27.0,2.11,43.0,0.0,0.0,28.0,0.0
Enrique Marin,2.0,1.43,33.0,3.0,50.0,2.5,38.0,60.0,1.0
Ronny Markes,5.0,2.17,53.0,2.43,45.0,3.13,40.0,100.0,0.5
Rory Markham,3.0,1.98,21.0,10.27,45.0,0.0,0.0,0.0,0.0
Randa Markos,17.0,2.87,42.0,3.27,58.0,1.2,28.0,52.0,0.2
Christina Marks,1.0,5.0,58.0,3.0,64.0,7.5,100.0,0.0,0.0
Nate Marquardt,27.0,2.71,49.0,2.32,55.0,1.87,51.0,70.0,0.8
Danilo Marques,2.0,1.81,88.0,1.41,50.0,4.83,34.0,0.0,1.2
Julian Marquez,5.0,4.2,45.0,3.13,55.0,0.0,0.0,53.0,3.2
Carmelo Marrero,5.0,0.84,34.0,2.04,54.0,3.21,36.0,36.0,0.9
Cesar Marscucci,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Marsh,2.0,0.83,42.0,2.23,40.0,0.43,100.0,54.0,0.4
CJ Marsh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eliot Marshall,6.0,1.93,27.0,2.39,67.0,0.47,33.0,79.0,0.9
Doug Marshall,5.0,6.99,46.0,4.02,60.0,0.0,0.0,66.0,2.4
David Marshall,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Marshman,8.0,2.74,25.0,4.19,56.0,0.0,0.0,20.0,0.0
Terry Martin,10.0,2.82,43.0,3.13,54.0,3.1,42.0,92.0,0.0
Eric Martin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Martin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dave Martin,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Martin,1.0,0.73,40.0,2.4,45.0,0.0,0.0,16.0,0.0
Anthony Rocco Martin,15.0,2.68,37.0,2.59,58.0,0.71,27.0,68.0,1.0
Mallory Martin,4.0,3.99,59.0,5.53,58.0,3.37,63.0,25.0,0.5
Michal Martinek,1.0,2.45,53.0,4.29,51.0,0.0,0.0,0.0,0.0
Rainy Martinez,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danny Martinez,5.0,2.73,28.0,3.77,63.0,3.0,45.0,36.0,0.0
Alonzo Martinez,1.0,3.07,27.0,7.33,52.0,0.0,0.0,0.0,0.0
Henry Martinez,3.0,2.79,25.0,4.01,60.0,0.0,0.0,80.0,0.0
Jonathan Martinez,7.0,4.27,46.0,3.81,58.0,0.48,37.0,63.0,0.0
Poppies Martinez,2.0,2.88,50.0,2.16,51.0,1.54,33.0,50.0,9.2
Andrew Martinez,1.0,3.4,31.0,2.3,47.0,1.5,50.0,0.0,0.0
Mana Martinez,1.0,2.11,62.0,1.27,50.0,0.0,0.0,0.0,6.3
Victor Martinez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roque Martinez,2.0,2.67,51.0,4.68,59.0,0.62,50.0,16.0,0.0
Wagner da Conceicao Martins,4.0,1.91,37.0,5.43,42.0,2.2,100.0,100.0,0.0
Adriano Martins,9.0,1.8,38.0,2.14,65.0,0.83,80.0,81.0,0.4
Lucas Martins,7.0,2.87,35.0,4.14,60.0,0.0,0.0,76.0,0.5
Max Martyniouk,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bristol Marunde,3.0,1.42,21.0,4.4,47.0,1.6,33.0,14.0,0.0
Shoji Maruyama,1.0,1.4,63.0,0.27,55.0,0.0,0.0,54.0,0.0
Mike Massenzio,7.0,2.08,45.0,3.59,54.0,2.74,24.0,50.0,1.4
Jameel Massouh,3.0,1.91,54.0,2.62,55.0,0.67,15.0,50.0,0.7
Tiffany Masters,1.0,3.53,62.0,2.58,50.0,3.06,60.0,0.0,0.0
Jorge Masvidal,26.0,4.22,48.0,3.01,65.0,1.54,59.0,75.0,0.3
Al Matavao,1.0,7.84,46.0,6.7,58.0,0.0,0.0,0.0,0.0
Tateki Matsuda,2.0,3.2,34.0,3.43,69.0,0.0,0.0,16.0,0.0
Daijiro Matsui,14.0,0.84,45.0,1.69,55.0,1.83,30.0,43.0,0.4
Koichiro Matsumoto,1.0,1.9,26.0,3.5,31.0,0.0,0.0,0.0,0.0
Naoki Matsushita,1.0,3.3,32.0,2.2,63.0,1.5,100.0,0.0,0.0
AJ Matthews,1.0,5.11,52.0,4.96,51.0,0.0,0.0,100.0,0.0
Jake Matthews,15.0,3.03,44.0,2.16,61.0,1.93,41.0,66.0,0.6
Claudio Mattos,1.0,0.0,0.0,3.53,0.0,0.0,0.0,0.0,0.0
John Matua,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Francesco Maturi,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vladimir Matyushenko,14.0,1.9,44.0,1.62,59.0,3.25,46.0,70.0,0.1
Miranda Maverick,2.0,6.0,48.0,2.85,61.0,2.25,75.0,50.0,0.0
Nick Maximov,1.0,2.47,58.0,0.33,58.0,2.0,40.0,0.0,0.0
Elaina Maxwell,3.0,2.07,60.0,2.4,53.0,0.0,0.0,50.0,1.0
Jeremy May,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack May,2.0,1.52,38.0,3.29,33.0,0.91,33.0,20.0,0.0
Don'Tale Mayes,6.0,4.13,45.0,4.46,43.0,0.23,20.0,59.0,0.0
Gray Maynard,20.0,1.92,32.0,2.64,66.0,2.91,47.0,81.0,0.7
Brooke Mayo,0.0,1.92,34.0,3.2,63.0,3.2,60.0,0.0,2.1
Gina Mazany,7.0,3.43,49.0,3.17,49.0,4.7,58.0,33.0,0.3
Sabina Mazo,5.0,6.56,44.0,3.91,60.0,0.81,80.0,66.0,0.2
Scott McAfee,1.0,0.0,0.0,1.33,50.0,0.0,0.0,0.0,0.0
Bobby McAndrews,1.0,2.56,83.0,1.03,50.0,0.0,0.0,33.0,7.7
Michael McBride,2.0,4.08,48.0,5.85,40.0,1.85,42.0,30.0,1.2
Ian McCall,9.0,3.59,39.0,3.25,67.0,2.08,30.0,88.0,0.0
Molly McCann,6.0,5.15,50.0,4.28,65.0,1.64,29.0,28.0,0.7
Charles McCarthy,3.0,0.18,12.0,4.03,56.0,2.67,60.0,0.0,2.7
Sean McCorkle,3.0,0.85,44.0,2.48,52.0,2.12,40.0,33.0,4.2
Kris McCray,3.0,2.69,45.0,2.57,54.0,2.88,55.0,38.0,0.0
Tamdan McCrory,9.0,2.07,49.0,1.6,46.0,2.28,50.0,33.0,2.5
Rob McCullough,10.0,2.47,36.0,2.84,59.0,0.46,100.0,68.0,0.0
Justin McCully,4.0,1.58,37.0,2.02,46.0,1.28,44.0,43.0,0.0
Robert McDaniel,3.0,1.64,44.0,1.98,56.0,0.93,50.0,50.0,1.4
Michael McDonald,1.0,0.0,0.0,0.4,50.0,0.0,0.0,0.0,0.0
Scott McDonald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael McDonald,10.0,2.69,42.0,2.76,57.0,1.09,66.0,52.0,1.4
Josh McDonald,2.0,0.8,57.0,3.4,33.0,9.0,50.0,0.0,0.0
Miles McDonald,0.0,5.1,45.0,4.0,43.0,0.0,0.0,100.0,1.0
Justin McElfresh,2.0,4.59,26.0,12.79,41.0,0.0,0.0,0.0,0.0
Drew McFedries,9.0,5.13,51.0,4.56,52.0,1.42,100.0,56.0,0.7
Liam McGeary,0.0,1.28,48.0,1.92,50.0,0.51,100.0,0.0,2.5
Gan McGee,6.0,2.2,29.0,2.31,59.0,0.65,25.0,83.0,0.0
Court McGee,18.0,4.76,36.0,3.78,61.0,1.68,23.0,69.0,0.4
Ryan McGillivray,1.0,1.27,20.0,2.2,52.0,0.0,0.0,44.0,0.0
Ryan McGivern,1.0,2.22,29.0,2.22,57.0,0.0,0.0,0.0,0.0
Jack McGlaughlin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Conor McGregor,14.0,5.32,49.0,4.54,54.0,0.7,55.0,67.0,0.0
Greg McIntyre,2.0,0.79,30.0,1.36,41.0,5.09,50.0,0.0,0.0
Antonio McKee,3.0,1.37,45.0,0.74,74.0,1.47,33.0,57.0,0.0
AJ McKee,0.0,2.75,32.0,0.92,80.0,11.01,100.0,100.0,11.0
Rhys McKee,2.0,6.83,53.0,11.9,43.0,0.0,0.0,20.0,0.0
Cory McKenna,2.0,3.47,44.0,3.03,45.0,0.5,50.0,71.0,0.0
Tim McKenzie,3.0,1.37,54.0,2.96,44.0,0.0,0.0,28.0,2.1
Cody McKenzie,7.0,1.74,34.0,2.5,67.0,2.5,25.0,14.0,2.5
Terrance McKinney,1.0,1.17,50.0,0.59,66.0,4.4,33.0,0.0,0.0
Brian McLaughlin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason McLean,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garreth McLellan,5.0,3.56,54.0,2.94,45.0,1.15,22.0,34.0,0.9
Sara McMann,16.0,2.32,45.0,1.94,48.0,4.41,65.0,50.0,0.5
James McSweeney,3.0,3.94,55.0,4.33,42.0,0.52,33.0,100.0,1.1
Charles McTorry,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel McWilliams,1.0,3.36,77.0,0.0,0.0,0.0,0.0,100.0,21.6
Tim Means,23.0,5.16,48.0,3.58,61.0,0.92,41.0,64.0,0.2
Yancy Medeiros,16.0,4.05,35.0,5.38,46.0,0.12,25.0,76.0,0.5
Anistavio Medeiros,1.0,3.64,44.0,5.0,47.0,0.0,0.0,0.0,0.0
Kaline Medeiros,0.0,2.06,70.0,0.29,83.0,4.41,100.0,0.0,4.4
Uros Medic,2.0,19.91,77.0,0.52,86.0,0.0,0.0,100.0,0.0
Todd Medina,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason Medina,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emil Meek,4.0,2.52,39.0,2.53,38.0,0.25,33.0,47.0,1.0
Sanford Alton Meeks,1.0,0.71,42.0,4.47,38.0,7.06,25.0,0.0,0.0
Gerald Meerschaert,13.0,3.31,43.0,3.6,51.0,2.28,43.0,43.0,1.8
Frank Megallon,1.0,1.14,21.0,5.32,54.0,0.0,0.0,0.0,0.0
Derrick Mehmen,2.0,1.93,14.0,4.53,48.0,1.0,16.0,0.0,0.0
Miika Mehmet,1.0,0.33,12.0,7.29,24.0,0.0,0.0,0.0,0.0
Jordan Mein,12.0,3.35,44.0,2.55,69.0,1.56,58.0,66.0,0.2
Bryce Mejia,0.0,3.49,62.0,6.98,50.0,0.0,0.0,0.0,0.0
Brian Melancon,4.0,4.18,49.0,3.64,64.0,2.02,100.0,66.0,0.0
Brandon Melendez,1.0,0.84,26.0,0.56,63.0,0.0,0.0,25.0,0.0
Gilbert Melendez,25.0,3.44,33.0,2.53,63.0,1.64,41.0,71.0,0.2
Marcelo Mello,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fabio Mello,1.0,0.86,35.0,3.94,50.0,0.0,0.0,0.0,0.0
Vanessa Melo,4.0,3.48,30.0,6.13,59.0,0.0,0.0,71.0,0.0
Antonio Mendes,2.0,1.34,47.0,6.85,22.0,2.51,50.0,100.0,0.0
Chad Mendes,18.0,2.78,49.0,2.35,67.0,4.13,55.0,100.0,0.3
Augusto Mendes,3.0,2.42,34.0,3.91,56.0,1.75,33.0,80.0,0.0
Eddie Mendez,2.0,1.71,33.0,3.43,11.0,0.0,0.0,0.0,0.0
Luis Mendoza,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pietro Menga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alonzo Menifield,7.0,3.31,48.0,3.6,46.0,0.39,14.0,85.0,0.4
Ivan Menjivar,11.0,2.78,37.0,2.76,65.0,0.56,28.0,38.0,1.0
Dave Menne,7.0,1.84,44.0,1.99,42.0,0.46,50.0,57.0,2.5
Steve Mensing,1.0,0.0,0.0,9.51,42.0,0.0,0.0,0.0,0.0
Buck Meredith,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Meredith,0.0,2.63,50.0,2.11,55.0,7.89,100.0,100.0,7.9
Joe Merritt,1.0,1.53,58.0,0.73,66.0,0.0,0.0,68.0,0.0
Jeremiah Metcalf,3.0,1.74,59.0,0.27,60.0,4.02,66.0,100.0,2.0
Jonathan Meunier,2.0,3.47,50.0,1.43,69.0,0.58,33.0,58.0,0.0
Yaotzin Meza,7.0,1.43,41.0,1.62,64.0,1.06,20.0,18.0,1.4
Guy Mezger,15.0,2.3,32.0,1.36,72.0,0.39,50.0,88.0,0.0
Brandon Michaels,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andreas Michailidis,2.0,4.8,52.0,4.4,51.0,0.75,50.0,0.0,0.0
