Fighter Name,fightno,slpmSecondSplit,strAccSecondSplit,sapmSecondSplit,strDefSecondSplit,tdAvgSecondSplit,tdAccSecondSplit,tdDefSecondSplit,subAvgSecondSplit
Alen Amedovski,2.0,0.52,28.0,3.14,37.0,0.0,0.0,0.0,0.0
Makwan Amirkhani,10.0,1.42,44.0,2.63,51.0,3.37,37.0,57.0,1.4
Bertrand Amoussou,1.0,6.75,39.0,2.01,83.0,0.0,0.0,0.0,0.0
Karl Amoussou,2.0,1.47,34.0,2.67,54.0,0.0,0.0,25.0,1.0
Eryk Anders,12.0,3.23,46.0,4.15,51.0,1.62,35.0,80.0,0.1
Matt Andersen,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andy Anderson,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lowell Anderson,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corey Anderson,15.0,4.43,46.0,2.22,59.0,4.89,50.0,83.0,0.0
Derek Anderson,0.0,3.97,37.0,3.08,61.0,0.34,14.0,60.0,0.0
Megan Anderson,6.0,1.76,46.0,3.35,37.0,0.52,25.0,53.0,0.5
Alex Andrade,2.0,0.2,36.0,2.6,53.0,0.0,0.0,25.0,0.8
Jessica Andrade,19.0,6.15,50.0,5.2,52.0,2.97,55.0,66.0,0.4
Viscardi Andrade,4.0,3.26,42.0,2.77,63.0,1.93,50.0,66.0,0.3
Jermaine Andre,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dylan Andrews,5.0,2.21,50.0,2.72,46.0,2.83,50.0,57.0,0.4
Reese Andy,2.0,2.87,50.0,3.5,58.0,0.67,20.0,40.0,0.0
Julius Anglickas,1.0,4.62,78.0,1.86,50.0,4.47,50.0,60.0,1.1
Collin Anglin,1.0,5.87,55.0,3.47,58.0,3.0,75.0,100.0,0.0
Yoji Anjo,4.0,0.0,0.0,3.13,25.0,0.0,0.0,0.0,0.0
Magomed Ankalaev,7.0,3.41,53.0,1.78,65.0,1.18,33.0,85.0,0.0
Gadzhimurad Antigulov,6.0,2.08,55.0,4.21,40.0,5.08,36.0,0.0,1.4
Adam Antolin,4.0,5.73,52.0,5.0,69.0,0.0,0.0,100.0,0.0
Angelo Antonio,1.0,1.09,50.0,7.64,50.0,0.0,0.0,0.0,0.0
Azunna Anyanwu,2.0,2.47,42.0,2.47,69.0,0.65,100.0,0.0,0.0
Shinsho Anzai,4.0,3.23,58.0,3.75,45.0,1.83,16.0,75.0,0.0
Shinya Aoki,31.0,0.97,58.0,1.25,58.0,2.54,41.0,60.0,4.0
Aori Qileng,1.0,7.73,44.0,12.6,46.0,3.0,75.0,100.0,0.0
Josh Appelt,1.0,1.35,40.0,11.5,32.0,0.0,0.0,33.0,0.0
Erik Apple,3.0,0.0,0.0,0.54,81.0,0.0,0.0,0.0,8.1
Kenji Arai,1.0,8.79,27.0,10.29,39.0,0.0,0.0,0.0,0.0
Romie Aram,2.0,1.8,35.0,2.83,50.0,2.5,62.0,83.0,0.0
Felipe Arantes,12.0,2.37,45.0,2.66,64.0,0.93,47.0,41.0,0.7
Igor Araujo,4.0,1.52,42.0,2.86,49.0,0.86,15.0,22.0,0.6
Viviane Araujo,6.0,5.14,47.0,5.48,59.0,2.1,60.0,94.0,0.3
Julio Arce,6.0,4.25,36.0,2.87,67.0,0.58,30.0,93.0,0.6
Art Arciniega,0.0,1.53,46.0,2.73,51.0,0.0,0.0,50.0,1.0
Tristan Arenal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hashem Arkhagha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrei Arlovski,41.0,3.62,44.0,2.95,57.0,0.45,36.0,78.0,0.2
Joey Armstrong,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Arnett,5.0,4.52,41.0,6.38,62.0,0.44,18.0,57.0,0.2
Ricardo Arona,12.0,1.66,48.0,1.15,57.0,2.41,48.0,58.0,1.2
Chalid Arrab,2.0,1.56,34.0,1.63,56.0,3.05,75.0,37.0,1.0
Akbarh Arreola,4.0,2.32,45.0,4.01,56.0,1.07,100.0,33.0,0.4
Matt Arroyo,3.0,1.62,47.0,2.01,58.0,2.12,36.0,100.0,5.3
Antonio Arroyo,5.0,3.08,70.0,1.72,44.0,1.4,41.0,32.0,0.3
Gilles Arsene,1.0,0.06,10.0,2.45,32.0,0.0,0.0,0.0,0.0
Veta Arteaga,0.0,3.2,36.0,1.92,65.0,0.0,0.0,40.0,0.0
Cesar Arzamendia,2.0,5.37,45.0,5.2,56.0,7.32,75.0,0.0,2.4
Teddy Ash,1.0,7.27,61.0,6.8,28.0,0.0,0.0,100.0,0.0
