Fighter Name,fightno,slpmSecondSplit,strAccSecondSplit,sapmSecondSplit,strDefSecondSplit,tdAvgSecondSplit,tdAccSecondSplit,tdDefSecondSplit,subAvgSecondSplit,X,Y
Chance Rencountre,4,1.1,20,3.62,49,1.35,26,16,0.3,1, 12
Charles Bennett,6,1.39,39,1.35,64,2.02,100,36,2.0,8, 1
Charles Oliveira,26,3.27,51,3.08,54,2.61,42,57,2.8,0, 2
Charles Rosa,7,3.79,36,4.22,50,2.82,34,47,1.2,5, 6
Charlie Brenneman,11,1.52,56,1.55,46,4.23,42,72,0.0,12, 2
Charlie Valencia,10,2.58,37,2.61,77,1.4,53,75,0.5,8, 5
Chas Skelly,11,2.02,40,3.35,48,1.71,34,33,2.4,0, 10
Chase Beebe,7,2.17,38,1.64,69,2.49,42,41,0.9,3, 6
Chase Sherman,7,5.81,43,5.76,51,0.0,0,77,0.0,10, 12
Che Mills,4,2.08,52,2.87,43,1.18,66,58,0.0,9, 2
Cheick Kongo,18,3.33,56,1.28,54,2.3,56,52,0.2,2, 3
Chico Camus,8,2.58,41,2.46,64,0.77,40,72,0.4,8, 7
Chris Beal,5,3.45,35,3.18,61,1.6,58,78,0.2,8, 4
Chris Brennan,7,0.6,40,0.97,50,0.0,0,25,2.1,0, 12
Chris Camozzi,19,3.57,44,2.96,56,0.27,19,57,0.5,6, 10
Chris Cariaso,18,3.35,43,2.23,61,1.11,39,57,0.8,3, 2
Chris Clements,5,3.2,49,2.37,44,0.0,0,32,0.3,3, 12
Chris Cope,4,3.96,26,4.82,50,0.0,0,80,0.0,9, 12
Chris de la Rocha,4,4.08,45,6.37,43,2.02,30,33,1.0,1, 9
Chris Dempsey,4,2.25,32,2.82,65,2.64,23,16,0.0,0, 11
Chris Gruetzemacher,5,7.12,58,5.09,56,0.0,0,62,0.0,11, 12
Chris Horodecki,5,4.59,41,3.16,65,1.52,55,37,0.9,5, 5
Chris Kelades,4,2.4,43,2.64,48,1.04,18,53,0.3,4, 12
Chris Leben,25,2.87,42,2.87,52,1.14,41,53,0.8,0, 1
Chris Lytle,22,3.76,45,3.03,58,0.7,55,55,2.4,0, 1
Chris Spang,4,1.83,36,1.95,60,0.0,0,50,0.9,3, 12
Chris Tuchscherer,4,1.35,31,3.17,47,1.19,18,0,0.6,0, 12
Chris Wade,7,1.7,53,1.75,51,2.6,51,55,1.1,12, 3
Chris Weidman,16,3.14,42,3.25,51,3.82,50,73,1.0,12, 0
Chris Wilson,4,2.32,50,1.36,55,1.31,50,60,1.6,10, 4
